n_paths,variant,price,std_error
2000,plain,6.614439630325921,0.277082489538727
2000,antithetic,6.727357920315171,0.23964325833568614
2000,control variate,6.609149236838788,0.13973715522100583
2000,antithetic + control variate,6.69921710233601,0.1901015855404643
5000,plain,7.004767777079629,0.17776287875373412
5000,antithetic,6.706015256014277,0.14486405641009054
5000,control variate,6.713052096631477,0.08742457801365291
5000,antithetic + control variate,6.704669249061269,0.11593294784980075
10000,plain,6.790829652303541,0.12352937931457036
10000,antithetic,6.753832066992305,0.10312006515939685
10000,control variate,6.685801541331983,0.061734317745992306
10000,antithetic + control variate,6.741385693881923,0.08249503100930665
25000,plain,6.743153733657538,0.07744578744328946
25000,antithetic,6.732713453865612,0.06486837375544625
25000,control variate,6.74650815532279,0.03880824879600649
25000,antithetic + control variate,6.725756856666801,0.051977674781790786
50000,plain,6.669375666101637,0.054064683570734316
50000,antithetic,6.765483191044049,0.04563824952463703
50000,control variate,6.698717341276268,0.027250245367748477
50000,antithetic + control variate,6.755320887751226,0.036646269422577704
100000,plain,6.711017610665231,0.03851671317245812
100000,antithetic,6.715356126039579,0.032147722835352936
100000,control variate,6.705576730834937,0.019348901213078588
100000,antithetic + control variate,6.7142475277229074,0.025838886891076232
200000,plain,6.705533300546533,0.0272452699619934
200000,antithetic,6.723848305279501,0.0228333139041467
200000,control variate,6.710840899389975,0.01366906845634058
200000,antithetic + control variate,6.7198928264844895,0.018319079934172172
400000,plain,6.71275951527617,0.019306295014710696
400000,antithetic,6.720184675698883,0.016129443680453798
400000,control variate,6.7093330251194745,0.00967703916388789
400000,antithetic + control variate,6.71724315367721,0.01294224439200952
