lag,delta,msq,fitted_H
1,0.0025,0.4773976776614566,0.09862130578261909
2,0.005,0.5433494025903652,0.09862130578261909
3,0.0075,0.5880913558094982,0.09862130578261909
4,0.01,0.6222615509191158,0.09862130578261909
5,0.0125,0.6500535677244057,0.09862130578261909
6,0.015,0.674178577173814,0.09862130578261909
7,0.0175,0.6954507532277792,0.09862130578261909
8,0.02,0.7140707121880209,0.09862130578261909
10,0.025,0.746364622605885,0.09862130578261909
12,0.03,0.7737202511397356,0.09862130578261909
14,0.035,0.7978585207353366,0.09862130578261909
17,0.0425,0.8300589942501473,0.09862130578261909
21,0.0525,0.8651226148235139,0.09862130578261909
25,0.0625,0.8955278621137643,0.09862130578261909
29,0.0725,0.9223682215561082,0.09862130578261909
35,0.08750000000000001,0.9569026332990193,0.09862130578261909
42,0.105,0.9916842059951015,0.09862130578261909
50,0.125,1.026956568477998,0.09862130578261909
60,0.15,1.064830966161,0.09862130578261909
