,Momentum (12-1),Momentum (12-1),Reversal (1w),Reversal (1w)
,sharpe,cagr,sharpe,cagr
cost_bps,,,,
0.0,0.16423003919809645,0.008141323575784787,0.7050651038932406,0.032956279238990804
2.0,0.14967545221908776,0.00725439412944251,0.37358266013884367,0.016799032801079194
4.0,0.13512142888212464,0.0063681572447849,0.04249862090183645,0.0008895322930673188
6.0,0.12056897115854154,0.005482612447804902,-0.28646036634101824,-0.014775944662760554
8.0,0.10601907973369049,0.00459775926477457,-0.6116345645628913,-0.03020106566405678
10.0,0.09147275366468248,0.0037135972222452907,-0.9314710054979954,-0.045389444317661454
12.0,0.0769309900396896,0.0028301258470493362,-1.2445569779948873,-0.06034464101773762
14.0,0.062394783639073345,0.0019473446662956473,-1.5496456882714762,-0.07507016371291964
16.0,0.04786512659860753,0.0010652532073749388,-1.8456733693652054,-0.08956946866265114
18.0,0.033343008075057814,0.00018385099795348303,-2.1317678380010863,-0.10384596118283951
20.0,0.018829413914379325,-0.0006968624340187857,-2.407249118334561,-0.11790299638099
22.0,0.004325326322786187,-0.0015768875603185961,-2.671623217008613,-0.13174387988095781
24.0,-0.010168276459055194,-0.0024562248524411245,-2.924570418900372,-0.1453718685374612
26.0,-0.02465042047846024,-0.003334874781602659,-3.165929583578245,-0.15879017114049865
28.0,-0.039120136389549566,-0.004212837818743376,-3.3956798861299777,-0.1720019491098147
30.0,-0.05357645976822082,-0.005090114434523341,-3.6139213016589378,-0.18501031717953642
32.0,-0.0680184314230413,-0.005966705099328062,-3.8208549220686723,-0.19781834407313603
34.0,-0.08244509770183371,-0.006842610283259165,-4.016763954423697,-0.2104290531688443
36.0,-0.09685551079373747,-0.007717830456146602,-4.201996011932672,-0.22284542315563916
38.0,-0.1112487290265317,-0.008592366087539549,-4.376947091944065,-0.2350703886799549
40.0,-0.12562381715901566,-0.009466217646711628,-4.542047452039395,-0.2471068409832312
