date,p_turbulent_causal,regime,p_turbulent_smoothed,realized_vol,ewma_vol,garch_vol,vol_tercile
2013-02-11,,,9.7013e-42,,,0.126792,
2013-02-12,,,0.00939865,,,0.115853,
2013-02-13,,,0.0284946,,,0.107297,
2013-02-14,,,0.0747308,,,0.0995801,
2013-02-15,,,0.18774,,,0.0932428,
2013-02-19,,,0.462814,,,0.0883056,
2013-02-20,,,0.943214,,,0.092375,
2013-02-21,,,0.962124,,,0.138416,
2013-02-22,,,0.978134,,,0.137129,
2013-02-25,,,0.992955,,,0.139874,
2013-02-26,,,0.855432,,,0.182163,
2013-02-27,,,0.785688,,,0.165006,
2013-02-28,,,0.356382,,,0.17532,
2013-03-01,,,0.183959,,,0.15544,
2013-03-04,,,0.115074,,,0.139381,
2013-03-05,,,0.0834063,,,0.128959,
2013-03-06,,,0.037052,,,0.133229,
2013-03-07,,,0.0187992,,,0.120525,
2013-03-08,,,0.0122777,,,0.110244,
2013-03-11,,,0.00775039,,,0.108491,
2013-03-12,,,0.00667305,0.124372,0.124372,0.101132,
2013-03-13,,,0.0067681,0.124392,0.120885,0.0963979,
2013-03-14,,,0.00870199,0.124924,0.118285,0.0935564,
2013-03-15,,,0.0127086,0.126006,0.116381,0.0932821,
2013-03-18,,,0.0197487,0.128322,0.113476,0.0918096,
2013-03-19,,,0.0252904,0.129243,0.112168,0.096815,
2013-03-20,,,0.0366452,0.13094,0.109547,0.0950377,
2013-03-21,,,0.04487,0.122569,0.111775,0.105452,
2013-03-22,,,0.0354079,0.118617,0.113883,0.117529,
2013-03-25,,,0.0338173,0.115906,0.112572,0.112666,
2013-03-26,,,0.0387163,0.0912493,0.10988,0.107032,
2013-03-27,,,0.0450141,0.0906541,0.110808,0.110194,
2013-03-28,,,0.0703726,0.0803338,0.107485,0.101704,
2013-04-01,,,0.110679,0.0859334,0.107582,0.103602,
2013-04-02,,,0.144995,0.0859064,0.107612,0.108748,
2013-04-03,,,0.239815,0.0966232,0.104413,0.100563,
2013-04-04,,,0.236272,0.0923577,0.111184,0.126056,
2013-04-05,,,0.257453,0.0933011,0.110117,0.119586,
2013-04-08,,,0.310429,0.0972998,0.107536,0.112543,
2013-04-09,,,0.375549,0.0953994,0.10926,0.115845,
2013-04-10,,,0.548718,0.103843,0.106336,0.106875,
2013-04-11,,,0.614246,0.104272,0.113912,0.126745,
2013-04-12,,,0.754026,0.105221,0.112478,0.119559,
2013-04-15,,,0.999996,0.144029,0.110028,0.113279,
2013-04-16,,,0.998919,0.154697,0.152245,0.218637,
2013-04-17,,,0.991782,0.161817,0.160257,0.217943,
2013-04-18,,,0.887572,0.163098,0.165203,0.216632,
2013-04-19,,,0.783715,0.165211,0.162312,0.19671,
2013-04-22,,,0.591866,0.162345,0.163692,0.188261,
2013-04-23,,,0.516918,0.166648,0.159206,0.167198,
2013-04-24,,,0.329361,0.166061,0.161649,0.168023,
2013-04-25,,,0.257386,0.16549,0.156979,0.149724,
2013-04-26,,,0.218228,0.166424,0.154367,0.139914,
2013-04-29,,,0.200599,0.16636,0.150509,0.129987,
2013-04-30,,,0.200149,0.164457,0.148253,0.124605,
2013-05-01,,,0.230463,0.169058,0.144721,0.116009,
2013-05-02,,,0.216162,0.165269,0.145632,0.128443,
2013-05-03,,,0.195072,0.169112,0.146094,0.131167,
2013-05-06,,,0.108271,0.16797,0.150055,0.143747,
2013-05-07,,,0.0747421,0.167016,0.145875,0.129872,
2013-05-08,,,0.0594196,0.167177,0.143176,0.122486,
2013-05-09,,,0.0593018,0.16425,0.139853,0.114383,
2013-05-10,,,0.0676726,0.164626,0.136392,0.109289,
2013-05-13,,,0.086332,0.163827,0.134693,0.108474,
2013-05-14,,,0.136004,0.127095,0.130686,0.101185,
2013-05-15,,,0.145891,0.119201,0.135328,0.122219,
2013-05-16,,,0.178247,0.107144,0.133079,0.116472,
2013-05-17,,,0.20719,0.103187,0.131583,0.117551,
2013-05-20,,,0.214265,0.101507,0.134497,0.127859,
2013-05-21,,,0.257603,0.101969,0.130501,0.116827,
2013-05-22,,,0.379897,0.110877,0.126578,0.107072,
2013-05-23,,,0.373753,0.112225,0.131721,0.132094,
2013-05-24,,,0.401422,0.112068,0.128082,0.121436,
2013-05-28,,,0.479967,0.111133,0.124483,0.112517,
2013-05-29,,,0.614513,0.116345,0.123513,0.111305,
2013-05-30,,,0.686124,0.116454,0.124567,0.120831,
2013-05-31,,,0.851112,0.120442,0.122136,0.113534,
2013-06-03,,,0.861565,0.116758,0.128614,0.138676,
2013-06-04,,,0.918803,0.111534,0.124897,0.125175,
2013-06-05,,,0.981963,0.121298,0.123704,0.123661,
2013-06-06,,,0.982365,0.124951,0.131629,0.149465,
2013-06-07,,,0.985241,0.132416,0.133412,0.14778,
2013-06-10,,,0.979699,0.131717,0.138844,0.156108,
2013-06-11,,,0.991629,0.1349,0.134632,0.139643,
2013-06-12,,,0.993965,0.137794,0.137266,0.147939,
2013-06-13,,,0.99664,0.144313,0.137381,0.147008,
2013-06-14,,,0.982143,0.142832,0.148588,0.171172,
2013-06-17,,,0.979125,0.144904,0.145118,0.155892,
2013-06-18,,,0.984687,0.142401,0.144101,0.14765,
2013-06-19,,,0.998781,0.150025,0.143267,0.141566,
2013-06-20,,,0.999996,0.173086,0.149663,0.162422,
2013-06-21,,,0.92894,0.170253,0.177929,0.232843,
2013-06-24,,,0.907364,0.17332,0.172788,0.204364,
2013-06-25,,,0.8026,0.179739,0.173186,0.197055,
2013-06-26,,,0.621228,0.181203,0.173647,0.188,
2013-06-27,,,0.453645,0.18334,0.171924,0.175146,
2013-06-28,,,0.261042,0.182435,0.171008,0.166997,
2013-07-01,,,0.159634,0.178922,0.166235,0.150626,
2013-07-02,,,0.100598,0.17887,0.163121,0.14032,
2013-07-03,,,0.0757814,0.177459,0.158329,0.127506,
2013-07-05,,,0.073278,0.173732,0.153506,0.115876,
2013-07-08,,,0.0551027,0.171155,0.154729,0.126456,
2013-07-09,,,0.052503,0.167595,0.150909,0.117329,
2013-07-10,,,0.0510942,0.167557,0.149647,0.118396,
2013-07-11,,,0.0667522,0.168385,0.145198,0.108455,
2013-07-12,,,0.0328239,0.163876,0.151613,0.136548,
2013-07-15,,,0.01833,0.155293,0.147733,0.124947,
2013-07-16,,,0.0139542,0.155614,0.143374,0.113849,
2013-07-17,,,0.00874694,0.154031,0.140411,0.111608,
2013-07-18,,,0.00747862,0.153408,0.136574,0.103833,
2013-07-19,,,0.00539553,0.142237,0.135099,0.105217,
2013-07-22,,,0.00504923,0.0964167,0.131475,0.0988522,
2013-07-23,,,0.00635092,0.0981788,0.127769,0.0932216,
2013-07-24,,,0.00920731,0.0897154,0.124063,0.0896847,
2013-07-25,,,0.00813027,0.0854181,0.122658,0.0970438,
2013-07-26,,,0.00889288,0.0834739,0.120381,0.0953105,
2013-07-29,,,0.0138118,0.0829236,0.116731,0.0898333,
2013-07-30,,,0.0205187,0.0805701,0.114219,0.0910404,
2013-07-31,,,0.0396202,0.0793462,0.110984,0.0868557,
2013-08-01,,,0.0881423,0.0908535,0.107823,0.0835324,
2013-08-02,,,0.054245,0.0906138,0.121871,0.131309,
2013-08-05,,,0.0439745,0.0874493,0.118173,0.118886,
2013-08-06,,,0.046424,0.0927061,0.114688,0.109557,
2013-08-07,,,0.0451618,0.0934397,0.113989,0.111958,
2013-08-08,,,0.0454283,0.0944286,0.11237,0.110493,
2013-08-09,,,0.0556024,0.0826157,0.110993,0.10686,
2013-08-12,,,0.0860036,0.0823855,0.107726,0.0998859,
2013-08-13,,,0.156269,0.0823206,0.104623,0.0946686,
2013-08-14,,,0.333568,0.0827395,0.101501,0.0893374,
2013-08-15,,,0.555744,0.0977685,0.10075,0.0948862,
2013-08-16,,,0.526312,0.0949614,0.113117,0.136539,
2013-08-19,,,0.525568,0.0965938,0.110626,0.126694,
2013-08-20,,,0.517774,0.101733,0.110883,0.126786,
2013-08-21,,,0.518074,0.102736,0.112523,0.126702,
2013-08-22,,,0.534846,0.108526,0.110859,0.121406,
2013-08-23,,,0.534258,0.107653,0.115215,0.129518,
2013-08-26,,,0.582653,0.107965,0.11232,0.118453,
2013-08-27,,,0.69125,0.123204,0.109475,0.110995,
2013-08-28,,,0.325715,0.123193,0.126766,0.161018,
2013-08-29,,,0.179608,0.123853,0.123117,0.143698,
2013-08-30,,,0.11887,0.107455,0.120141,0.130473,
2013-09-03,,,0.0757092,0.109305,0.118027,0.123992,
2013-09-04,,,0.0593295,0.115719,0.115582,0.115309,
2013-09-05,,,0.0398855,0.114573,0.117482,0.119897,
2013-09-06,,,0.0366183,0.113759,0.114028,0.109648,
2013-09-09,,,0.0465977,0.120454,0.110654,0.101319,
2013-09-10,,,0.0354853,0.124406,0.117177,0.121854,
2013-09-11,,,0.0226077,0.124792,0.118515,0.123448,
2013-09-12,,,0.0193492,0.125797,0.115702,0.114012,
2013-09-13,,,0.0176185,0.12452,0.113436,0.110059,
2013-09-16,,,0.0227679,0.113319,0.110694,0.103017,
2013-09-17,,,0.0308436,0.112266,0.110581,0.104512,
2013-09-18,,,0.0498283,0.112909,0.108979,0.101423,
2013-09-19,,,0.0427809,0.112129,0.116505,0.124084,
2013-09-20,,,0.0468022,0.115203,0.113213,0.114351,
2013-09-23,,,0.0379896,0.113575,0.114273,0.120724,
2013-09-24,,,0.0311327,0.113577,0.112544,0.116839,
2013-09-25,,,0.0352972,0.113159,0.109119,0.107239,
2013-09-26,,,0.0508894,0.0891996,0.106047,0.1008,
2013-09-27,,,0.090116,0.0921451,0.103901,0.0965489,
2013-09-30,,,0.151551,0.0941184,0.10209,0.0966911,
2013-10-01,,,0.258814,0.0943262,0.100009,0.0955205,
2013-10-02,,,0.361896,0.0948825,0.103537,0.107137,
2013-10-03,,,0.604221,0.0992416,0.100476,0.0999683,
2013-10-04,,,0.722693,0.101852,0.103802,0.114754,
2013-10-07,,,0.884125,0.108615,0.105267,0.116103,
2013-10-08,,,0.964979,0.112295,0.1082,0.125609,
2013-10-09,,,0.966024,0.107712,0.117428,0.149027,
2013-10-10,,,0.99183,0.132771,0.113856,0.133532,
2013-10-11,,,0.852942,0.133212,0.139925,0.18786,
2013-10-14,,,0.775626,0.133187,0.13801,0.170538,
2013-10-15,,,0.755332,0.135103,0.134351,0.15231,
2013-10-16,,,0.713281,0.143001,0.134309,0.149319,
2013-10-17,,,0.47581,0.139737,0.141743,0.162407,
2013-10-18,,,0.248944,0.140641,0.141875,0.155217,
2013-10-21,,,0.126985,0.136914,0.139416,0.142914,
2013-10-22,,,0.0769212,0.136082,0.135185,0.1287,
2013-10-23,,,0.0474856,0.137949,0.133469,0.12307,
2013-10-24,,,0.0247074,0.137459,0.130856,0.118453,
2013-10-25,,,0.0161577,0.137763,0.12738,0.109424,
2013-10-28,,,0.0127185,0.136285,0.125074,0.10532,
2013-10-29,,,0.0143775,0.135189,0.12128,0.0981137,
2013-10-30,,,0.0193797,0.136132,0.119542,0.0976533,
2013-10-31,,,0.0199435,0.136516,0.118636,0.103639,
2013-11-01,,,0.0261895,0.130707,0.115382,0.0985574,
2013-11-04,,,0.0459899,0.129517,0.112272,0.0931541,
2013-11-05,,,0.0862106,0.12502,0.110698,0.0931597,
2013-11-06,,,0.150805,0.110964,0.108501,0.0937978,
2013-11-07,,,0.312972,0.126403,0.105541,0.0892151,
2013-11-08,,,0.273798,0.11135,0.116906,0.132991,
2013-11-11,,,0.13784,0.110073,0.123922,0.145531,
2013-11-12,,,0.0846361,0.110596,0.120367,0.130852,
2013-11-13,,,0.062339,0.107445,0.116923,0.11972,
2013-11-14,,,0.0378567,0.098988,0.118619,0.122792,
2013-11-15,,,0.0252768,0.0958343,0.117169,0.116999,
2013-11-18,,,0.0222738,0.0974244,0.114649,0.109462,
2013-11-19,,,0.0186046,0.0991897,0.113078,0.108893,
2013-11-20,,,0.0160496,0.0981708,0.111009,0.106456,
2013-11-21,,,0.0158262,0.101206,0.108536,0.102806,
2013-11-22,,,0.00925636,0.101723,0.111879,0.113579,
2013-11-25,,,0.00604776,0.101089,0.109898,0.107594,
2013-11-26,,,0.00450753,0.100963,0.106702,0.100645,
2013-11-27,,,0.00436338,0.0996603,0.103541,0.0940951,
2013-11-29,,,0.00545469,0.0968464,0.100661,0.0892509,
2013-12-02,,,0.00702654,0.0969513,0.09804,0.08756,
2013-12-03,,,0.00972738,0.0980203,0.0955809,0.0865762,
2013-12-04,,,0.0134384,0.0968775,0.0936964,0.0877469,
2013-12-05,,,0.0229401,0.0963036,0.0910247,0.0851546,
2013-12-06,,,0.0406054,0.103096,0.089007,0.0855011,
2013-12-09,,,0.0432321,0.0866113,0.0965105,0.10798,
2013-12-10,,,0.0625616,0.0770451,0.0936846,0.0999736,
2013-12-11,,,0.106101,0.0908629,0.09122,0.0954542,
2013-12-12,,,0.0686967,0.0908905,0.102104,0.129176,
2013-12-13,,,0.0540523,0.0853219,0.0992837,0.118456,
2013-12-16,,,0.0567319,0.0857781,0.0964993,0.108616,
