entry,max_pairs,gross_sharpe,net_sharpe,breakeven_bps,avg_turnover,net_sharpe_calm,net_sharpe_turbulent
1.5,10,-0.00188813,-0.467688,-0.0405792,0.0356649,-1.6327,1.0693
1.5,20,0.641692,0.0607928,11.0627,0.0374529,-0.632176,1.89893
1.5,40,0.559759,-0.111253,8.32676,0.0341587,-0.858069,1.14106
2,10,-0.151199,-0.521781,-4.09054,0.0260378,-1.57496,0.818802
2,20,0.590388,0.100423,12.0595,0.0280438,-0.440924,1.67413
2,40,0.516102,-0.0517098,9.06519,0.0262607,-0.652844,0.893114
2.5,10,-0.00757741,-0.349557,-0.221596,0.0218371,-1.25867,0.525434
2.5,20,0.427391,-0.0118528,9.74634,0.0217086,-0.768539,1.16451
2.5,40,0.351669,-0.140466,7.11934,0.0207018,-0.463892,0.584464
3,10,0.0939845,-0.241035,2.80543,0.0179822,-0.955728,0.608182
3,20,0.269658,-0.158492,6.56933,0.0168995,-1.05567,1.22714
3,40,0.349185,-0.106052,7.80165,0.0165147,-0.361005,0.957937
