regression,n_series,quantile,stat
c,1,0.000500,-4.306138
c,1,0.001000,-4.135063
c,1,0.002500,-3.874847
c,1,0.005000,-3.656312
c,1,0.007500,-3.525711
c,1,0.010000,-3.437180
c,1,0.015000,-3.307850
c,1,0.020000,-3.208722
c,1,0.025000,-3.128099
c,1,0.030000,-3.061213
c,1,0.040000,-2.953763
c,1,0.050000,-2.862658
c,1,0.060000,-2.790206
c,1,0.070000,-2.728516
c,1,0.080000,-2.670044
c,1,0.090000,-2.617419
c,1,0.100000,-2.569535
c,1,0.125000,-2.461357
c,1,0.150000,-2.372659
c,1,0.175000,-2.292752
c,1,0.200000,-2.220388
c,1,0.250000,-2.089011
c,1,0.300000,-1.972629
c,1,0.400000,-1.765072
c,1,0.500000,-1.568870
c,1,0.600000,-1.368954
c,1,0.700000,-1.147310
c,1,0.800000,-0.865176
c,1,0.900000,-0.440148
c,1,0.950000,-0.075028
c,1,0.990000,0.611886
ct,1,0.000500,-4.757140
ct,1,0.001000,-4.605350
ct,1,0.002500,-4.367341
ct,1,0.005000,-4.166558
ct,1,0.007500,-4.051041
ct,1,0.010000,-3.962430
ct,1,0.015000,-3.832100
ct,1,0.020000,-3.734131
ct,1,0.025000,-3.658672
ct,1,0.030000,-3.598422
ct,1,0.040000,-3.493145
ct,1,0.050000,-3.409940
ct,1,0.060000,-3.339480
ct,1,0.070000,-3.276097
ct,1,0.080000,-3.222503
ct,1,0.090000,-3.173846
ct,1,0.100000,-3.127665
ct,1,0.125000,-3.026314
ct,1,0.150000,-2.940383
ct,1,0.175000,-2.861522
ct,1,0.200000,-2.790323
ct,1,0.250000,-2.666901
ct,1,0.300000,-2.556794
ct,1,0.400000,-2.360053
ct,1,0.500000,-2.179912
ct,1,0.600000,-2.001362
ct,1,0.700000,-1.810516
ct,1,0.800000,-1.584846
ct,1,0.900000,-1.246590
ct,1,0.950000,-0.944310
ct,1,0.990000,-0.338632
c,2,0.000500,-4.705840
c,2,0.001000,-4.557767
c,2,0.002500,-4.303055
c,2,0.005000,-4.102181
c,2,0.007500,-3.984952
c,2,0.010000,-3.902147
c,2,0.015000,-3.770793
c,2,0.020000,-3.670197
c,2,0.025000,-3.591776
c,2,0.030000,-3.527095
c,2,0.040000,-3.419362
c,2,0.050000,-3.334651
c,2,0.060000,-3.261614
c,2,0.070000,-3.197342
c,2,0.080000,-3.142762
c,2,0.090000,-3.091557
c,2,0.100000,-3.044074
c,2,0.125000,-2.938631
c,2,0.150000,-2.848868
c,2,0.175000,-2.768229
c,2,0.200000,-2.695625
c,2,0.250000,-2.566927
c,2,0.300000,-2.453927
c,2,0.400000,-2.245721
c,2,0.500000,-2.053394
c,2,0.600000,-1.861589
c,2,0.700000,-1.654848
c,2,0.800000,-1.398397
c,2,0.900000,-1.006776
c,2,0.950000,-0.642670
c,2,0.990000,0.101073
