model,cost_bps,Sharpe,CAGR,Ann. Volatility,Max Drawdown
best_feature,0.0,-0.6166480475724617,-0.029210956242972652,0.0463365198706826,-0.08051735721415931
best_feature,2.0,-0.674213774824607,-0.03179688226270572,0.046335900426102944,-0.08456410210143106
best_feature,5.0,-0.7605113619919363,-0.03566305899744093,0.046338254544690295,-0.09060107247180704
best_feature,7.5,-0.832365267564045,-0.03887325763280114,0.04634322557965169,-0.09560166122994485
best_feature,10.0,-0.904150410269299,-0.04207293326558925,0.04635093140109469,-0.10057493634021553
best_feature,15.0,-1.0474639031053812,-0.04844085134843534,0.04637454146649419,-0.11044013759691829
best_feature,20.0,-1.1903514785285443,-0.05476708381634188,0.04640906805446884,-0.12019785224013413
best_feature,30.0,-1.4744541533678324,-0.06729556560049377,0.046510765866970664,-0.1393954625997157
ridge,0.0,-0.676745115846066,-0.03870634480352675,0.05601411620681871,-0.11060650122530336
ridge,2.0,-0.793315860919245,-0.044954675135786326,0.056002811045107,-0.11706126369136827
ridge,5.0,-0.9682347245127995,-0.054251479947274306,0.055987329240382674,-0.1266559605866061
ridge,7.5,-1.1140474126493216,-0.06192999179233516,0.05597578161050333,-0.1345721035191617
ridge,10.0,-1.2598925480029013,-0.06954647141217896,0.05596546559221155,-0.1424167238611953
ridge,15.0,-1.551641628160949,-0.08459532462886288,0.055948531034130035,-0.16158149558858814
ridge,20.0,-1.843404774120856,-0.09940198120447441,0.0559365300429245,-0.1878167406884086
ridge,30.0,-2.426663946933763,-0.1283041577998647,0.055927340159361495,-0.23785556779043504
gbm,0.0,-0.5845474935079804,-0.02879512038317411,0.048012894855897284,-0.08645285607164754
gbm,2.0,-0.7255596491089166,-0.03534117142394455,0.04800210468506862,-0.09393434056455474
gbm,5.0,-0.9371686135075367,-0.04507800450853672,0.047987362055411514,-0.10504220209959358
gbm,7.5,-1.113578045235006,-0.0531172707909362,0.047976399949334544,-0.11419498380827897
gbm,10.0,-1.290035729298485,-0.061089176725728334,0.04796664183578909,-0.12325445200211549
gbm,15.0,-1.6430426993594933,-0.07683314986170897,0.04795074043579112,-0.1493395899356944
gbm,20.0,-1.996083012070377,-0.09231436214045763,0.04793966265056917,-0.17694486031611245
gbm,30.0,-2.7018367290015624,-0.12250589135234502,0.047931989845884385,-0.2295026463448141
