date,n_factors
2014-02-11,14.0
2014-02-12,14.0
2014-02-13,14.0
2014-02-14,14.0
2014-02-18,14.0
2014-02-19,14.0
2014-02-20,14.0
2014-02-21,14.0
2014-02-24,14.0
2014-02-25,14.0
2014-02-26,14.0
2014-02-27,14.0
2014-02-28,14.0
2014-03-03,14.0
2014-03-04,14.0
2014-03-05,14.0
2014-03-06,14.0
2014-03-07,14.0
2014-03-10,14.0
2014-03-11,14.0
2014-03-12,14.0
2014-03-13,14.0
2014-03-14,14.0
2014-03-17,14.0
2014-03-18,14.0
2014-03-19,14.0
2014-03-20,14.0
2014-03-21,14.0
2014-03-24,14.0
2014-03-25,14.0
2014-03-26,14.0
2014-03-27,14.0
2014-03-28,14.0
2014-03-31,14.0
2014-04-01,14.0
2014-04-02,14.0
2014-04-03,14.0
2014-04-04,14.0
2014-04-07,14.0
2014-04-08,14.0
2014-04-09,14.0
2014-04-10,14.0
2014-04-11,14.0
2014-04-14,14.0
2014-04-15,14.0
2014-04-16,14.0
2014-04-17,14.0
2014-04-21,14.0
2014-04-22,14.0
2014-04-23,14.0
2014-04-24,14.0
2014-04-25,14.0
2014-04-28,14.0
2014-04-29,14.0
2014-04-30,14.0
2014-05-01,14.0
2014-05-02,14.0
2014-05-05,14.0
2014-05-06,14.0
2014-05-07,14.0
2014-05-08,14.0
2014-05-09,14.0
2014-05-12,14.0
2014-05-13,14.0
2014-05-14,14.0
2014-05-15,14.0
2014-05-16,14.0
2014-05-19,14.0
2014-05-20,14.0
2014-05-21,14.0
2014-05-22,14.0
2014-05-23,14.0
2014-05-27,14.0
2014-05-28,14.0
2014-05-29,14.0
2014-05-30,14.0
2014-06-02,14.0
2014-06-03,14.0
2014-06-04,14.0
2014-06-05,14.0
2014-06-06,14.0
2014-06-09,14.0
2014-06-10,14.0
2014-06-11,14.0
2014-06-12,13.0
2014-06-13,13.0
2014-06-16,13.0
2014-06-17,13.0
2014-06-18,13.0
2014-06-19,13.0
2014-06-20,13.0
2014-06-23,13.0
2014-06-24,13.0
2014-06-25,13.0
2014-06-26,13.0
2014-06-27,13.0
2014-06-30,13.0
2014-07-01,13.0
2014-07-02,13.0
2014-07-03,13.0
2014-07-07,13.0
2014-07-08,13.0
2014-07-09,13.0
2014-07-10,13.0
2014-07-11,13.0
2014-07-14,14.0
2014-07-15,14.0
2014-07-16,14.0
2014-07-17,14.0
2014-07-18,14.0
2014-07-21,14.0
2014-07-22,14.0
2014-07-23,14.0
2014-07-24,14.0
2014-07-25,14.0
2014-07-28,14.0
2014-07-29,14.0
2014-07-30,14.0
2014-07-31,14.0
2014-08-01,14.0
2014-08-04,14.0
2014-08-05,14.0
2014-08-06,14.0
2014-08-07,14.0
2014-08-08,14.0
2014-08-11,14.0
2014-08-12,13.0
2014-08-13,13.0
2014-08-14,13.0
2014-08-15,13.0
2014-08-18,13.0
2014-08-19,13.0
2014-08-20,13.0
2014-08-21,13.0
2014-08-22,13.0
2014-08-25,13.0
2014-08-26,13.0
2014-08-27,13.0
2014-08-28,13.0
2014-08-29,13.0
2014-09-02,13.0
2014-09-03,13.0
2014-09-04,13.0
2014-09-05,13.0
2014-09-08,13.0
2014-09-09,13.0
2014-09-10,13.0
2014-09-11,13.0
2014-09-12,13.0
2014-09-15,13.0
2014-09-16,13.0
2014-09-17,13.0
2014-09-18,13.0
2014-09-19,13.0
2014-09-22,13.0
2014-09-23,13.0
2014-09-24,13.0
2014-09-25,13.0
2014-09-26,13.0
2014-09-29,13.0
2014-09-30,13.0
2014-10-01,13.0
2014-10-02,13.0
2014-10-03,13.0
2014-10-06,13.0
2014-10-07,13.0
2014-10-08,13.0
2014-10-09,13.0
2014-10-10,13.0
2014-10-13,13.0
2014-10-14,13.0
2014-10-15,13.0
2014-10-16,13.0
2014-10-17,13.0
2014-10-20,13.0
2014-10-21,13.0
2014-10-22,13.0
2014-10-23,13.0
2014-10-24,13.0
2014-10-27,13.0
2014-10-28,13.0
2014-10-29,13.0
2014-10-30,13.0
2014-10-31,13.0
2014-11-03,13.0
2014-11-04,13.0
2014-11-05,13.0
2014-11-06,13.0
2014-11-07,13.0
2014-11-10,14.0
2014-11-11,14.0
2014-11-12,14.0
2014-11-13,14.0
2014-11-14,14.0
2014-11-17,14.0
2014-11-18,14.0
2014-11-19,14.0
2014-11-20,14.0
2014-11-21,14.0
2014-11-24,14.0
2014-11-25,14.0
2014-11-26,14.0
2014-11-28,14.0
2014-12-01,14.0
2014-12-02,14.0
2014-12-03,14.0
2014-12-04,14.0
2014-12-05,14.0
2014-12-08,14.0
2014-12-09,14.0
2014-12-10,14.0
2014-12-11,14.0
2014-12-12,14.0
