component,eigenvalue,variance_share,cumulative_share,above_mp_edge,above_adjusted_edge
1,139.92124563334164,0.2989770205840633,0.2989770205840633,True,True
2,25.806655414022845,0.0551424260983394,0.3541194466824027,True,True
3,13.430557938653484,0.0286977733731912,0.3828172200555939,True,True
4,8.509263379649862,0.01818218670865355,0.40099940676424745,True,True
5,7.236287093034383,0.015462151908193122,0.41646155867244056,True,True
6,6.291646730509302,0.013443689595105343,0.42990524826754595,True,True
7,5.657850177581742,0.012089423456371241,0.44199467172391715,True,True
8,4.749856770073312,0.01014926660272075,0.4521439383266379,True,True
9,4.1860610955249244,0.008944574990437871,0.4610885133170758,True,True
10,3.6735727673321605,0.007849514460111453,0.46893802777718724,True,True
11,3.4720643401861238,0.007418940897833596,0.47635696867502086,True,True
12,3.124731545206895,0.006676776805997637,0.48303374548101846,True,True
13,3.0822324107158936,0.006585966689563873,0.48961971217058237,True,True
14,2.805756841830224,0.005995206926987656,0.49561491909757005,True,True
15,2.5871113935462526,0.005528015798175752,0.5011429348957458,False,True
16,2.4640167706336182,0.005264993099644482,0.5064079279953903,False,True
17,2.3953567329254115,0.005118283617361989,0.5115262116127522,False,True
18,2.365500676585348,0.005054488625182366,0.5165807002379347,False,True
19,2.211956139756209,0.004726402008026087,0.5213071022459608,False,True
20,2.1989809249248564,0.0046986771900103756,0.5260057794359712,False,True
21,2.1560329710881003,0.004606908057880555,0.5306126874938517,False,True
22,2.1395055193679156,0.004571592990102382,0.5351842804839541,False,True
23,2.0360346591369507,0.004350501408412287,0.5395347818923664,False,True
24,1.9892291913464473,0.004250489725099245,0.5437852716174656,False,True
25,1.9500117877540109,0.004166691854175236,0.5479519634716408,False,True
26,1.861066885449184,0.003976638644122187,0.551928602115763,False,True
27,1.830719926333545,0.003911794714387916,0.5558403968301509,False,True
28,1.7733433829194893,0.0037891952626484806,0.5596295920927994,False,False
29,1.7040279030106544,0.003641085262843278,0.5632706773556426,False,False
30,1.6832436298699305,0.0035966744227989957,0.5668673517784416,False,False
31,1.6311389546693953,0.0034853396467294765,0.5703526914251711,False,False
32,1.6127563831860414,0.003446060647833421,0.5737987520730045,False,False
33,1.6014471232118246,0.0034218955624184277,0.5772206476354229,False,False
34,1.5626279923247952,0.0033389487015487067,0.5805595963369715,False,False
35,1.5557887546278928,0.003324334945786095,0.5838839312827576,False,False
36,1.5370026584976493,0.003284193714738566,0.5871681249974963,False,False
37,1.5141218399551997,0.003235303076827349,0.5904034280743236,False,False
38,1.4930251715803777,0.003190224725599097,0.5935936527999226,False,False
39,1.4837728632573657,0.0031704548360200115,0.5967641076359426,False,False
40,1.4767783816233913,0.003155509362443143,0.5999196169983857,False,False
41,1.4500626924484763,0.0030984245565138374,0.6030180415548995,False,False
42,1.4438305969081275,0.003085108113051554,0.6061031496679511,False,False
43,1.4159586993491935,0.003025552776387165,0.6091287024443381,False,False
44,1.3925473743980057,0.0029755285777735155,0.6121042310221118,False,False
45,1.3742085371149937,0.00293634302802349,0.6150405740501352,False,False
46,1.360636505026684,0.002907342959458726,0.617947917009594,False,False
47,1.3456509631336384,0.002875322570798372,0.6208232395803923,False,False
48,1.3216817743235194,0.002824106355392135,0.6236473459357844,False,False
49,1.3154289337617722,0.002810745584961051,0.6264580915207455,False,False
50,1.3061083056773606,0.0027908297129858126,0.6292489212337313,False,False
51,1.2987013265584717,0.0027750028345266482,0.6320239240682579,False,False
52,1.2812026931201022,0.0027376125921369696,0.6347615366603949,False,False
53,1.273649467027629,0.002721473220144506,0.6374830098805394,False,False
54,1.2674877801016737,0.002708307222439473,0.6401913171029788,False,False
55,1.2497955172864867,0.002670503242065142,0.6428618203450439,False,False
56,1.2145083549239855,0.0025951033224871477,0.645456923667531,False,False
57,1.2063669017401815,0.0025777070550003873,0.6480346307225314,False,False
58,1.2000339854784692,0.002564175182646301,0.6505988059051777,False,False
59,1.1969565611145887,0.0025575994895610864,0.6531564053947387,False,False
60,1.189170414617501,0.002540962424396369,0.6556973678191351,False,False
61,1.1786115799217505,0.0025184008117986115,0.6582157686309338,False,False
62,1.1680125263713337,0.0024957532614772082,0.660711521892411,False,False
63,1.1598034296990205,0.002478212456621838,0.6631897343490328,False,False
64,1.1450299296337703,0.002446645148790107,0.665636379497823,False,False
65,1.1416566638809622,0.0024394373159849613,0.6680758168138079,False,False
66,1.1288143735491896,0.002411996524677755,0.6704878133384856,False,False
67,1.122630748359239,0.0023987836503402537,0.6728865969888259,False,False
68,1.1066298515479236,0.002364593699888725,0.6752511906887148,False,False
69,1.1026841747896956,0.002356162766644648,0.6776073534553594,False,False
70,1.0917532580565363,0.00233280610695841,0.6799401595623178,False,False
71,1.0794990014097217,0.00230662179788402,0.6822467813602018,False,False
72,1.0737976511489493,0.0022944394255319423,0.6845412207857338,False,False
73,1.0618589904413256,0.0022689294667549687,0.6868101502524888,False,False
74,1.0559776539159487,0.002256362508367411,0.6890665127608562,False,False
75,1.0461014124374077,0.0022352594282850588,0.6913017721891411,False,False
76,1.0387701505850122,0.0022195943388568632,0.6935213665279981,False,False
77,1.031664892465669,0.0022044121633881812,0.6957257786913862,False,False
78,1.0260986702027846,0.0021925185260743252,0.6979182972174605,False,False
79,1.0060092120481987,0.0021495923334363216,0.7000678895508968,False,False
80,1.0013368916383134,0.0021396087428169086,0.7022074982937137,False,False
81,0.9973281126261438,0.002131042975696888,0.7043385412694105,False,False
82,0.9852783666625208,0.002105295655261796,0.7064438369246723,False,False
83,0.9732807901436846,0.0020796598079993256,0.7085234967326716,False,False
84,0.9700114566401222,0.0020726740526498333,0.7105961707853214,False,False
85,0.9613689461838042,0.002054207149965393,0.7126503779352868,False,False
86,0.9581865625327429,0.002047407184899023,0.7146977851201858,False,False
87,0.94772756106586,0.002025058891166367,0.7167228440113521,False,False
88,0.9360583756574881,0.0020001247343108715,0.718722968745663,False,False
89,0.9322120784058839,0.0019919061504399226,0.7207148748961029,False,False
90,0.929360015981109,0.001985811999959634,0.7227006868960625,False,False
91,0.9108049946839089,0.0019461645185553603,0.7246468514146179,False,False
