,mom_12_1,mom_6_1,rev_5,rev_21,dist_high_52w,vol_21,vol_252,beta_252,idio_vol_252,skew_63,dollar_volume,volume_shock,amihud,hl_range
mom_12_1,1.0,0.6469799464162209,-0.015490456472965479,-0.01066306781172474,0.5379263973358472,-0.07491684146570778,-0.09370185455121358,0.008114930605558806,-0.10370920787465887,0.09680992548156646,0.01864643064753568,0.0040260850143868645,-0.08521873510211882,-0.08312637281238645
mom_6_1,0.6469799464162209,1.0,-0.016265007450450807,-0.005764689974070589,0.5623249783862398,-0.10450485109193755,-0.07126222307344969,-0.021428142825873762,-0.07055516052523819,0.17552217392946914,-0.00948751611841878,-0.0010304852697294064,-0.06640889122148919,-0.10708942328548889
rev_5,-0.015490456472965479,-0.016265007450450807,1.0,0.43784772838981945,-0.28550992442483836,0.01835913153293099,-0.0009943915606394872,-0.007883808308222,0.00027236325743259046,-0.07473247221025703,0.010524499659529559,0.018902417357080644,-0.00997783605394571,0.015416256022142286
rev_21,-0.01066306781172474,-0.005764689974070589,0.43784772838981945,1.0,-0.48601770592447807,0.08178310898151789,0.0024294862627371135,-0.014953195019715456,0.005098852296843732,-0.2325705609915292,0.016590523809590106,0.10612196737076883,0.016794908219988358,0.07207151338569971
dist_high_52w,0.5379263973358472,0.5623249783862398,-0.28550992442483836,-0.48601770592447807,1.0,-0.41256868087751913,-0.3939145501223326,-0.189843362565648,-0.40088432817011216,0.2612283438826773,-0.06784745333586738,-0.031961807475324504,-0.1337830305087824,-0.447147780078883
vol_21,-0.07491684146570778,-0.10450485109193755,0.01835913153293099,0.08178310898151789,-0.41256868087751913,1.0,0.6873760754463027,0.48306105557549167,0.6431151262611421,-0.00823675641957516,0.10763896241545884,0.13841110600814371,0.21427490306855804,0.8401922059506376
vol_252,-0.09370185455121358,-0.07126222307344969,-0.0009943915606394872,0.0024294862627371135,-0.3939145501223326,0.6873760754463027,1.0,0.6695260216049504,0.9313872692164847,0.06851474563549535,0.10806341528986495,-0.06012581315298136,0.1921773418574632,0.8029794478354101
beta_252,0.008114930605558806,-0.021428142825873762,-0.007883808308222,-0.014953195019715456,-0.189843362565648,0.48306105557549167,0.6695260216049504,1.0,0.4074789950977427,0.07348824213286347,0.043682050351379724,-0.016649102554347896,0.16525475030759837,0.5276650217705816
idio_vol_252,-0.10370920787465887,-0.07055516052523819,0.00027236325743259046,0.005098852296843732,-0.40088432817011216,0.6431151262611421,0.9313872692164847,0.4074789950977427,1.0,0.057133340378891846,0.11374760481791076,-0.06629938489846786,0.1701064707401422,0.7727950550650575
skew_63,0.09680992548156646,0.17552217392946914,-0.07473247221025703,-0.2325705609915292,0.2612283438826773,-0.00823675641957516,0.06851474563549535,0.07348824213286347,0.057133340378891846,1.0,0.0371824589468754,-0.051985703637974535,-0.03951693690411148,-0.0008478973343517004
dollar_volume,0.01864643064753568,-0.00948751611841878,0.010524499659529559,0.016590523809590106,-0.06784745333586738,0.10763896241545884,0.10806341528986495,0.043682050351379724,0.11374760481791076,0.0371824589468754,1.0,-0.01381962126646174,-0.8945069321065706,0.059760062945644225
volume_shock,0.0040260850143868645,-0.0010304852697294064,0.018902417357080644,0.10612196737076883,-0.031961807475324504,0.13841110600814371,-0.06012581315298136,-0.016649102554347896,-0.06629938489846786,-0.051985703637974535,-0.01381962126646174,1.0,-0.027778796882763516,0.07631216726854592
amihud,-0.08521873510211882,-0.06640889122148919,-0.00997783605394571,0.016794908219988358,-0.1337830305087824,0.21427490306855804,0.1921773418574632,0.16525475030759837,0.1701064707401422,-0.03951693690411148,-0.8945069321065706,-0.027778796882763516,1.0,0.2633628928785747
hl_range,-0.08312637281238645,-0.10708942328548889,0.015416256022142286,0.07207151338569971,-0.447147780078883,0.8401922059506376,0.8029794478354101,0.5276650217705816,0.7727950550650575,-0.0008478973343517004,0.059760062945644225,0.07631216726854592,0.2633628928785747,1.0
