feature,family,IC_train,IR_train,IC_oos,IR_oos,sign_held,days_train,days_oos
dollar_volume,liquidity,-0.021611646508759234,-0.2232698331888583,0.00020699192788448006,0.002302273958535894,False,505,498
mom_12_1,trend,0.035832889413443536,0.17296635993361625,-0.0038377156298568713,-0.01714858459674298,False,505,498
vol_21,risk,-0.025829313090486826,-0.13981042204596783,0.016334664341972262,0.08337859859518418,False,505,498
amihud,liquidity,0.012929474865492216,0.1350600337779645,0.00955464256352717,0.08010259733298658,True,505,498
volume_shock,liquidity,-0.009770804689793007,-0.13239439153330926,-0.017014002368977273,-0.2387037160826503,True,505,498
hl_range,liquidity,-0.024174773869456483,-0.12057024474820216,0.017258116883686853,0.08177331639012386,False,505,498
beta_252,risk,-0.0291219095856638,-0.11781093251178337,0.04416624896174517,0.15465011325229658,False,505,498
mom_6_1,trend,0.020215180308025174,0.1085787782488199,0.016468279121215682,0.08001023156843715,True,505,498
skew_63,risk,0.009958342075006784,0.10150989959443857,-0.013862761091855816,-0.12313196975843863,False,505,498
vol_252,risk,-0.019347666779957088,-0.09470830087759395,0.024641452463224203,0.1087436616525849,False,505,498
dist_high_52w,trend,0.015192117469432626,0.07577226419446573,-0.016122820096731192,-0.07394866670313101,False,505,498
idio_vol_252,risk,-0.0099353300409812,-0.06306127993106136,0.011856153108015799,0.07030451111220472,False,505,498
rev_5,reversal,0.009238794867387535,0.0591974080703372,0.011223322286085465,0.07224902084784161,True,505,498
rev_21,reversal,-0.0010766442104580705,-0.006545661033401693,0.0293902136286494,0.1758047188104242,False,505,498
