n_trees,oos_ic
10,0.0002711513386251465
20,0.0009241306031529277
30,-0.0011612775355214148
40,-0.0013136814788479577
50,-0.0006304072087881101
60,-0.0012147208794281272
70,-0.0010210965459042023
80,-0.0004609908430375873
90,0.0005420967482786438
100,4.219553340745152e-05
110,-0.0003570797657982249
120,0.00014521736284817856
130,-0.000796740957225476
140,-0.0005099599838292479
150,-0.0009143089582111971
160,-0.0015835425498651485
170,-0.001485470361692373
180,-0.0016550292643035876
190,-0.0016132492663139674
200,-0.00169223473103595
