horizon,target,window,IC vs total,IR vs total,gross Sharpe,net Sharpe,turnover,break-even bps
1,total,expanding,0.0018233614692128354,0.009710937420223213,-0.4646801747428995,-1.7755072722229241,0.31227777063787837,-3.5445623867508247
1,total,rolling,0.0013105394631886798,0.0068784307508532585,-0.3855907450323163,-1.4814423631118825,0.25778606006083177,-3.5211916707112523
1,residual,expanding,0.005334611774461432,0.03464792542123816,-0.11795035326506384,-2.237980708588589,0.4110868354538831,-0.5558773035090779
1,residual,rolling,0.006954480361593412,0.04680131588433713,0.2768768658455445,-1.7502564527317832,0.3706464464721756,1.3654615357769413
5,total,expanding,-0.005724793346813057,-0.030495290815894745,-0.676745115846066,-1.2598925480029013,0.12937775191960948,-11.626860902537647
5,total,rolling,-0.0020821931194650927,-0.010903520967387023,-0.32073604700311753,-0.8768836384418318,0.12193921893967118,-5.770790621882095
5,residual,expanding,-0.0010987143713557662,-0.007882949661997601,-0.2975219610623588,-1.4452538951266267,0.17552021605935827,-2.5964872116827227
5,residual,rolling,0.005928161509692531,0.04378726275941776,0.3853240594645823,-0.8068329276725469,0.1747272322422617,3.2347154785884693
21,total,expanding,-0.042189909609513326,-0.245735453989722,-1.2057126181334399,-1.3996928821955066,0.04587139978026758,-62.24465167227569
21,total,rolling,-0.029258584627603616,-0.15545542700997808,-0.9404384742419626,-1.1245476327235757,0.04362502826921965,-51.13307987265324
21,residual,expanding,-0.022474568676501806,-0.18599873412203538,-0.7204076256119564,-1.12724402629266,0.05692506814055019,-17.747782176188824
21,residual,rolling,0.0016455436852273327,0.013678679626167041,0.1467615354877677,-0.25241860193433396,0.05301008466235293,3.6789475090723136
